hostname,ip_address,position,model,serial_number,port_location,vendor,shared_with
ALA-3130-Rack3-ENC3-A.dtc_phx.com,10.101.255.120,Standalone,WS-CBS3130X-S,FOC1420H01S,,,
,,Module,800-27645-02,FDO141815M2,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO14181F25,Switch 1 - Slot 2 - TwinGig Converter Module,,
ALA-3130-Rack3-ENC3-B.dtc_phx.com,10.101.255.121,Standalone,WS-CBS3130X-S,FOC1437H010,,,
,,Module,800-27645-02,FDO14340BUE,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO14340AJT,Switch 1 - Slot 2 - TwinGig Converter Module,,
AL-3130-R16-ENC1-B.dtc_phx.com,10.101.255.119,Standalone,WS-CBS3130X-S,FOC1420H012,,,
,,Module,800-27645-02,FDO141813Y8,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO141814P2,Switch 1 - Slot 2 - TwinGig Converter Module,,
AL-3130-R16-Enc1-A.dtc_phx.com,10.101.255.118,Standalone,WS-CBS3130X-S,FOC1437H012,,,
,,Module,800-27645-02,FDO14340A8H,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO14340AFL,Switch 1 - Slot 2 - TwinGig Converter Module,,
AL-3130-R3-ENC2-B.dtc_phx.com,10.101.255.117,Standalone,WS-CBS3130X-S,FOC1420H01Z,,,
,,Module,800-27645-02,FDO141816DL,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO141816MQ,Switch 1 - Slot 2 - TwinGig Converter Module,,
AL-3130-R3-ENC2-A.dtc_phx.com,10.101.255.115,Standalone,WS-CBS3130X-S,FOC1420H01R,,,
,,Module,800-27645-02,FDO14181E8Y,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO141800PJ,Switch 1 - Slot 2 - TwinGig Converter Module,,
MDF-3130-I9-StackA,10.0.255.51,Master,WS-CBS3130X-S-F,FOC1217H0FC,,,
,,Slave,WS-CBS3130X-S,FOC1414H06C,,,
,,Slave,WS-CBS3130X-S-F,FOC1445H03L,,,
,,Module,800-27645-01,FDO12120A23,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-01,FDO12120A7L,Switch 1 - Slot 2 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO140403PA,Switch 2 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO1404072D,Switch 2 - Slot 2 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO143319D1,Switch 3 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO14340B30,Switch 3 - Slot 2 - TwinGig Converter Module,,
MDF-3130-I9-StackB,10.0.255.52,Master,WS-CBS3130X-S,FOC1934Q01N,,,
,,Slave,WS-CBS3130X-S-F,FOC1402H02Y,,,
,,Slave,WS-CBS3130X-S,FOC1934Q012,,,
,,Module,800-27645-03,FDO18501G0E,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-03,FDO18501G7N,Switch 1 - Slot 2 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO134708SX,Switch 2 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO13430JEY,Switch 2 - Slot 2 - TwinGig Converter Module,,
,,Module,800-27645-03,FDO18471WB7,Switch 3 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-03,FDO18471WBB,Switch 3 - Slot 2 - TwinGig Converter Module,,
MDF-3130-O3-ENC1-B,10.0.255.47,Standalone,WS-CBS3130X-S-F,FOC1216H09U,,,
,,Module,800-27645-02,FDO13180593,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO1318067T,Switch 1 - Slot 2 - TwinGig Converter Module,,
Alameda-IDFA-3750-Stack.dtc_phx.com,10.101.255.50,Master,WS-C3750-48PS-S,FDO1239X2T5,,,
,,Slave,WS-C3750-48PS-S,FDO1239X2Q6,,,
,,SFP,Unspecified,FNS12410EPW,GigabitEthernet1/0/1,,
,,SFP,Unspecified,AGM142623D0,GigabitEthernet1/0/3,,
,,SFP,Unspecified,AGM151125MA,GigabitEthernet1/0/4,,
,,SFP,Unspecified,AGS084401HZ,GigabitEthernet1/0/2,,
,,SFP,GLC-T,00000MTC13390224,GigabitEthernet2/0/3,,
,,SFP,GLC-T,00000MTC1611071N,GigabitEthernet2/0/4,,
,,SFP,Unspecified,AGM1248152A,GigabitEthernet2/0/1,,
,,SFP,Unspecified,FNS12410DKJ,GigabitEthernet2/0/2,,
MDF-3130-J9-ENC3-A.trtc,10.0.255.56,Master,WS-CBS3130X-S-F,FOC1518H098,,,
,,Slave,WS-CBS3130X-S-F,FOC1616H02D,,,
,,Module,800-27645-02,FDO151512MP,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO151615AS,Switch 1 - Slot 2 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO16020CYM,Switch 2 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO16020CWS,Switch 2 - Slot 2 - TwinGig Converter Module,,
MDF-3130-J9-ENC3-B.trtc,10.0.255.57,Master,WS-CBS3130X-S-F,FOC1518H047,,,
,,Slave,WS-CBS3130X-S-F,FOC1616H02L,,,
